filename,mass,dft_d3_energy_kJ_mol
InSe-beta.xyz,775.040,-18.834
InSe-gamma.xyz,1162.560,-32.047
InSe-1.xyz,775.040,-16.891 
InSe-2.xyz,775.040,-35.859 
GaSe-epsilon.xyz,594.720,-18.748
GaSe-beta.xyz,594.720,-20.128
GaSe-1.xyz,1189.440,-45.588
GaSe-2.xyz,892.080,-26.087
GaSe-3.xyz,594.720,-20.813
MoS2-2H.xyz,160.060,-0.173
MoS2-3R.xyz,480.180,-13.457
MoS2-1.xyz,320.120,-5.825
MoS2-2.xyz,640.240,-13.936
MoS2-3.xyz,480.180,-9.651
MoS2-4.xyz,160.060,-0.174
MoS2-5.xyz,2881.080,-285.741
MoS2-6.xyz,2560.960,-482.327
MoS2-7.xyz,480.180,-17.703
MoS2-8.xyz,160.060,-1.708
MoS2-9.xyz,640.240,-58.583
MoSe2-1.xyz,507.720,-8.428
MoSe2-2.xyz,761.580,-16.152
MoSe2-3.xyz,507.720,-7.225
MoSe2-4.xyz,1015.440,-16.790
MoSe2-5.xyz,761.580,-12.135
MoSe2-6.xyz,507.720,-2.739
MoSe2-7.xyz,253.860,-0.254       
WSe2-2H.xyz,1025.460,-12.614
WSe2-3R.xyz,683.640,-2.793
SnS2-2H.xyz,182.820,-2.473
SnS2-4H.xyz,365.640,-8.266
SnS2-1.xyz,2925.120,-363.960
SnS2-2.xyz,731.280,-47.986
Te2W-1.xyz,1756.400,-53.121
Te2W-2.xyz,878.200,-9.359
Te2W-3.xyz,1756.400,-19.181
Te2W-4.xyz,1317.300,-13.988
Te2W-5.xyz,878.200,-3.238
Te2W-6.xyz,439.100,-0.322
WSe2-1.xyz,1025.460,-12.614
WSe2-2.xyz,341.820,-0.246
WSe2-3.xyz,683.640,-2.793



